[12-Jan-2017 09:31:02 Europe/Berlin] PHP Parse error:  syntax error, unexpected '.', expecting ',' or ';' in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 09:31:10 Europe/Berlin] PHP Warning:  The use statement with non-compound name 'ROOT' has no effect in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 09:31:10 Europe/Berlin] PHP Parse error:  syntax error, unexpected '.', expecting ',' or ';' in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 09:31:11 Europe/Berlin] PHP Warning:  The use statement with non-compound name 'ROOT' has no effect in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 09:31:11 Europe/Berlin] PHP Parse error:  syntax error, unexpected '.', expecting ',' or ';' in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 09:31:12 Europe/Berlin] PHP Warning:  The use statement with non-compound name 'ROOT' has no effect in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 09:31:12 Europe/Berlin] PHP Parse error:  syntax error, unexpected '.', expecting ',' or ';' in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 09:31:57 Europe/Berlin] PHP Warning:  The use statement with non-compound name 'ROOT' has no effect in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 09:31:57 Europe/Berlin] PHP Parse error:  syntax error, unexpected '.', expecting ',' or ';' in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 09:31:58 Europe/Berlin] PHP Warning:  The use statement with non-compound name 'ROOT' has no effect in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 09:31:58 Europe/Berlin] PHP Parse error:  syntax error, unexpected '.', expecting ',' or ';' in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 09:32:31 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 5
[12-Jan-2017 09:32:32 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 5
[12-Jan-2017 09:38:07 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 09:38:09 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 09:41:21 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 09:41:24 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 09:43:21 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\mainController.php on line 2
